================ Training Loss (Wed Nov  9 13:32:06 2022) ================
epoch: 1, iters: 3000, time: 0.210, data: 0.001, D_A: 0.078, G_A: 0.258, cycle_A: 3.272, idt_A: 0.366, D_B: 0.329, G_B: 0.464, cycle_B: 1.010, idt_B: 1.639, 
epoch: 1, iters: 3100, time: 0.209, data: 0.001, D_A: 0.202, G_A: 0.419, cycle_A: 1.742, idt_A: 0.348, D_B: 0.174, G_B: 0.286, cycle_B: 0.983, idt_B: 0.646, 
epoch: 1, iters: 3200, time: 0.209, data: 0.001, D_A: 0.168, G_A: 0.863, cycle_A: 1.448, idt_A: 0.505, D_B: 0.199, G_B: 0.107, cycle_B: 1.027, idt_B: 0.370, 
epoch: 1, iters: 3300, time: 0.208, data: 0.001, D_A: 0.165, G_A: 0.798, cycle_A: 1.125, idt_A: 0.248, D_B: 0.250, G_B: 0.138, cycle_B: 0.920, idt_B: 0.483, 
epoch: 1, iters: 3400, time: 0.209, data: 0.001, D_A: 0.210, G_A: 0.173, cycle_A: 0.674, idt_A: 0.261, D_B: 0.116, G_B: 0.594, cycle_B: 1.013, idt_B: 0.406, 
epoch: 1, iters: 3500, time: 0.208, data: 0.001, D_A: 0.255, G_A: 0.196, cycle_A: 1.429, idt_A: 0.172, D_B: 0.131, G_B: 0.650, cycle_B: 0.393, idt_B: 0.244, 
epoch: 1, iters: 3600, time: 0.207, data: 0.001, D_A: 0.055, G_A: 0.289, cycle_A: 1.342, idt_A: 0.321, D_B: 0.230, G_B: 0.306, cycle_B: 1.261, idt_B: 0.714, 
epoch: 1, iters: 3700, time: 0.207, data: 0.001, D_A: 0.367, G_A: 0.049, cycle_A: 1.256, idt_A: 0.416, D_B: 0.195, G_B: 0.578, cycle_B: 1.346, idt_B: 0.743, 
epoch: 1, iters: 3800, time: 0.207, data: 0.001, D_A: 0.337, G_A: 0.210, cycle_A: 0.560, idt_A: 0.436, D_B: 0.292, G_B: 0.050, cycle_B: 0.834, idt_B: 0.256, 
epoch: 1, iters: 3900, time: 0.207, data: 0.002, D_A: 0.147, G_A: 0.505, cycle_A: 0.741, idt_A: 0.609, D_B: 0.163, G_B: 0.240, cycle_B: 0.984, idt_B: 0.415, 
epoch: 1, iters: 4000, time: 0.409, data: 0.001, D_A: 0.297, G_A: 0.581, cycle_A: 1.167, idt_A: 0.397, D_B: 0.208, G_B: 0.209, cycle_B: 0.592, idt_B: 0.652, 
epoch: 1, iters: 4100, time: 0.207, data: 0.002, D_A: 0.275, G_A: 0.446, cycle_A: 1.080, idt_A: 0.307, D_B: 0.325, G_B: 0.294, cycle_B: 0.766, idt_B: 0.492, 
epoch: 1, iters: 4200, time: 0.207, data: 0.002, D_A: 0.101, G_A: 0.486, cycle_A: 0.402, idt_A: 0.387, D_B: 0.065, G_B: 0.057, cycle_B: 1.218, idt_B: 0.198, 
epoch: 1, iters: 4300, time: 0.207, data: 0.001, D_A: 0.572, G_A: 0.049, cycle_A: 1.265, idt_A: 0.228, D_B: 0.285, G_B: 0.556, cycle_B: 0.445, idt_B: 1.090, 
epoch: 1, iters: 4400, time: 0.207, data: 0.001, D_A: 0.268, G_A: 0.255, cycle_A: 0.699, idt_A: 0.711, D_B: 0.156, G_B: 0.534, cycle_B: 1.826, idt_B: 0.289, 
epoch: 1, iters: 4500, time: 0.208, data: 0.001, D_A: 0.082, G_A: 0.628, cycle_A: 0.726, idt_A: 0.238, D_B: 0.087, G_B: 0.406, cycle_B: 0.446, idt_B: 0.331, 
epoch: 1, iters: 4600, time: 0.208, data: 0.001, D_A: 0.120, G_A: 0.424, cycle_A: 1.470, idt_A: 0.272, D_B: 0.207, G_B: 0.487, cycle_B: 0.629, idt_B: 0.499, 
epoch: 1, iters: 4700, time: 0.207, data: 0.001, D_A: 0.076, G_A: 0.516, cycle_A: 0.542, idt_A: 0.444, D_B: 0.061, G_B: 0.559, cycle_B: 1.250, idt_B: 0.195, 
epoch: 1, iters: 4800, time: 0.209, data: 0.001, D_A: 0.388, G_A: 0.061, cycle_A: 1.088, idt_A: 0.281, D_B: 0.301, G_B: 0.374, cycle_B: 0.850, idt_B: 0.382, 
epoch: 1, iters: 4900, time: 0.207, data: 0.001, D_A: 0.435, G_A: 0.110, cycle_A: 0.645, idt_A: 0.506, D_B: 0.413, G_B: 0.304, cycle_B: 0.955, idt_B: 0.390, 
epoch: 1, iters: 5000, time: 0.207, data: 0.001, D_A: 0.237, G_A: 0.661, cycle_A: 2.164, idt_A: 0.498, D_B: 0.734, G_B: 0.045, cycle_B: 0.851, idt_B: 0.846, 
epoch: 1, iters: 5100, time: 0.209, data: 0.002, D_A: 0.233, G_A: 0.270, cycle_A: 0.791, idt_A: 0.637, D_B: 0.308, G_B: 0.337, cycle_B: 1.015, idt_B: 0.360, 
epoch: 1, iters: 5200, time: 0.207, data: 0.001, D_A: 0.557, G_A: 0.026, cycle_A: 0.649, idt_A: 0.423, D_B: 0.272, G_B: 0.141, cycle_B: 0.773, idt_B: 0.390, 
epoch: 1, iters: 5300, time: 0.207, data: 0.001, D_A: 0.081, G_A: 0.413, cycle_A: 0.482, idt_A: 0.241, D_B: 0.255, G_B: 0.141, cycle_B: 0.365, idt_B: 0.295, 
epoch: 1, iters: 5400, time: 0.207, data: 0.001, D_A: 0.128, G_A: 0.421, cycle_A: 0.667, idt_A: 0.569, D_B: 0.255, G_B: 0.281, cycle_B: 1.967, idt_B: 0.583, 
epoch: 1, iters: 5500, time: 0.208, data: 0.001, D_A: 0.244, G_A: 0.276, cycle_A: 2.633, idt_A: 0.530, D_B: 0.261, G_B: 0.796, cycle_B: 1.130, idt_B: 0.764, 
epoch: 1, iters: 5600, time: 0.207, data: 0.001, D_A: 0.206, G_A: 0.185, cycle_A: 0.766, idt_A: 0.531, D_B: 0.145, G_B: 0.235, cycle_B: 0.871, idt_B: 0.265, 
epoch: 1, iters: 5700, time: 0.209, data: 0.001, D_A: 0.193, G_A: 0.256, cycle_A: 0.826, idt_A: 0.219, D_B: 0.262, G_B: 0.165, cycle_B: 1.194, idt_B: 0.389, 
epoch: 1, iters: 5800, time: 0.209, data: 0.001, D_A: 0.172, G_A: 0.323, cycle_A: 1.361, idt_A: 0.213, D_B: 0.143, G_B: 0.629, cycle_B: 0.796, idt_B: 0.499, 
epoch: 1, iters: 5900, time: 0.209, data: 0.001, D_A: 0.077, G_A: 0.618, cycle_A: 0.569, idt_A: 0.404, D_B: 0.099, G_B: 0.379, cycle_B: 0.956, idt_B: 0.256, 
epoch: 1, iters: 6000, time: 0.415, data: 0.001, D_A: 0.256, G_A: 0.467, cycle_A: 0.496, idt_A: 0.374, D_B: 0.142, G_B: 0.210, cycle_B: 0.685, idt_B: 0.243, 
epoch: 1, iters: 6100, time: 0.207, data: 0.001, D_A: 0.311, G_A: 0.477, cycle_A: 0.387, idt_A: 0.932, D_B: 0.235, G_B: 0.166, cycle_B: 1.269, idt_B: 0.196, 
epoch: 1, iters: 6200, time: 0.208, data: 0.001, D_A: 0.311, G_A: 0.637, cycle_A: 0.511, idt_A: 0.811, D_B: 0.335, G_B: 0.468, cycle_B: 1.067, idt_B: 0.484, 
epoch: 1, iters: 6300, time: 0.207, data: 0.001, D_A: 0.338, G_A: 0.135, cycle_A: 0.565, idt_A: 0.471, D_B: 0.239, G_B: 0.398, cycle_B: 1.090, idt_B: 0.175, 
epoch: 1, iters: 6400, time: 0.208, data: 0.001, D_A: 0.262, G_A: 0.476, cycle_A: 1.776, idt_A: 0.817, D_B: 0.030, G_B: 0.600, cycle_B: 1.489, idt_B: 0.532, 
epoch: 1, iters: 6500, time: 0.208, data: 0.001, D_A: 0.083, G_A: 0.870, cycle_A: 0.535, idt_A: 0.303, D_B: 0.042, G_B: 0.742, cycle_B: 0.492, idt_B: 0.208, 
epoch: 1, iters: 6600, time: 0.208, data: 0.001, D_A: 0.418, G_A: 1.534, cycle_A: 1.314, idt_A: 0.703, D_B: 0.369, G_B: 0.061, cycle_B: 0.972, idt_B: 0.529, 
epoch: 1, iters: 6700, time: 0.207, data: 0.001, D_A: 0.154, G_A: 0.391, cycle_A: 1.011, idt_A: 0.277, D_B: 0.186, G_B: 0.387, cycle_B: 0.611, idt_B: 0.377, 
epoch: 1, iters: 6800, time: 0.209, data: 0.001, D_A: 0.053, G_A: 0.612, cycle_A: 0.713, idt_A: 0.142, D_B: 0.129, G_B: 0.586, cycle_B: 0.486, idt_B: 0.406, 
epoch: 1, iters: 6900, time: 0.209, data: 0.001, D_A: 0.114, G_A: 0.896, cycle_A: 0.696, idt_A: 0.302, D_B: 0.064, G_B: 0.358, cycle_B: 0.569, idt_B: 0.429, 
epoch: 1, iters: 7000, time: 0.207, data: 0.001, D_A: 0.301, G_A: 0.098, cycle_A: 1.019, idt_A: 0.233, D_B: 0.136, G_B: 0.593, cycle_B: 0.663, idt_B: 0.619, 
epoch: 1, iters: 7100, time: 0.206, data: 0.001, D_A: 0.071, G_A: 0.548, cycle_A: 1.326, idt_A: 0.344, D_B: 0.120, G_B: 0.418, cycle_B: 0.942, idt_B: 0.508, 
epoch: 1, iters: 7200, time: 0.207, data: 0.001, D_A: 0.337, G_A: 0.071, cycle_A: 1.292, idt_A: 0.277, D_B: 0.311, G_B: 0.262, cycle_B: 0.539, idt_B: 0.361, 
epoch: 1, iters: 7300, time: 0.206, data: 0.001, D_A: 0.134, G_A: 0.546, cycle_A: 0.590, idt_A: 0.159, D_B: 0.060, G_B: 0.467, cycle_B: 0.570, idt_B: 0.374, 
epoch: 1, iters: 7400, time: 0.207, data: 0.001, D_A: 0.118, G_A: 0.320, cycle_A: 0.319, idt_A: 0.229, D_B: 0.227, G_B: 0.680, cycle_B: 0.665, idt_B: 0.257, 
epoch: 1, iters: 7500, time: 0.210, data: 0.001, D_A: 0.185, G_A: 0.322, cycle_A: 1.868, idt_A: 0.190, D_B: 0.222, G_B: 0.442, cycle_B: 0.367, idt_B: 0.638, 
